umur,jenis_kelamin,pekerjaan,provinsi,gaji,is_menikah,is_keturunan,berat,tinggi,sampo,is_merokok,pendidikan,stress,botak_prob
27.0,Perempuan,PNS,Bengkulu,79.574.527.574.173.000,1.0,0,5.431.505.252.840.590,17.042.854.234.879.300,Pantone,1.0,S1,5.0,6.059.738.951.921.480
53.0,Perempuan,PNS,Bandung,7.633.002.755.486.630,1.0,0,728.734.035.599.853,16.553.009.655.972.700,Pantone,0.0,S1,7.0,5.328.597.660.156.330
37.0,Perempuan,Pegawai swasta,Bandung,6.637.624.864.428.120,1.0,0,46.321.532.719.560.200,1.545.993.882.991.200,Moonsilk,0.0,S1,4.0,4.184.419.518.130.690
36.0,Perempuan,Pengangguran,Palu,3.624.871.391.361.160,1.0,0,51.539.780.792.069.300,16.734.048.078.061.100,Deadbuoy,1.0,SD,9.0,804.050.214.750.373
38.0,Laki-laki,Freelance,Palangkaraya,603.180.752.048.343,1.0,0,60.726.909.008.236.900,16.551.477.316.835.000,Merpati,1.0,S2,1.0,36.837.149.435.279.800
55.0,Perempuan,PNS,Palangkaraya,9.213.032.163.715.520,1.0,1,54.287.045.393.390.900,17.923.514.458.380.000,Pantone,0.0,S1,1.0,7.325.619.928.121.650
40.0,Perempuan,Freelance,Serang,1.068.255.929.969.880,1.0,0,5.482.488.110.805.330,17.743.112.213.650.300,Shoulder & Head,0.0,S1,2.0,19.260.444.263.028.400
47.0,Laki-laki,Pegawai swasta,Banda Aceh,4.508.320.963.980.010,1.0,0,7.479.515.223.454.990,17.054.093.819.801.300,Shoulder & Head,1.0,S2,3.0,5.405.823.655.503.160
41.0,Laki-laki,Freelance,Palu,9.846.425.542.336.120,1.0,0,55.049.547.261.650.100,15.719.207.792.059.000,Pantone,0.0,SMA,6.0,3.679.600.894.292.860
46.0,Perempuan,Freelance,Palembang,92.574.263.210.561,1.0,0,52.764.656.334.773.500,17.439.717.040.492.200,Shoulder & Head,0.0,S1,4.0,40.365.348.152.659.600
34.0,Laki-laki,PNS,Kupang,4.765.811.843.286.790,1.0,1,4.365.720.666.498.620,1.510.786.468.532.540,Moonsilk,0.0,S1,2.0,5.937.037.150.898.300
40.0,Laki-laki,Pegawai swasta,Sofifi,18.627.756.024.743.800,1.0,0,811.404.406.866.772,16.749.209.580.907.700,Shoulder & Head,0.0,S1,1.0,3.593.372.996.084.240
41.0,Laki-laki,Pegawai swasta,Ambon,1.939.621.849.628.520,1.0,0,4.795.907.453.836.390,15.209.835.131.412.100,Deadbuoy,1.0,SMA,4.0,6.148.792.239.453.900
26.0,Laki-laki,Pegawai swasta,Tanjungselor,10.363.501.214.465.200,1.0,1,5.404.713.850.950.630,17.579.030.635.515.400,Pantone,1.0,SMA,1.0,6.122.265.439.679.890
45.0,Laki-laki,PNS,Tanjung Pinang,12.117.177.477.662.800,1.0,1,5.454.823.870.089.210,16.785.593.561.144.900,Moonsilk,1.0,S1,3.0,1.0
21.0,Laki-laki,Pegawai swasta,Banjarmasin,686.787.761.087.346,1.0,0,45.084.455.963.530.800,15.194.966.730.965.000,Merpati,1.0,S1,5.0,6.085.975.994.073.670
33.0,Laki-laki,Pegawai swasta,Denpasar,4.466.445.515.080.160,1.0,0,4.923.934.282.053.890,1.659.550.757.927.580,Deadbuoy,1.0,S1,7.0,4.464.081.959.041.160
54.0,Laki-laki,Pegawai swasta,Mamuju,1.147.456.407.920.370,1.0,0,6.938.197.081.746.170,17.513.292.264.233.700,Pantone,1.0,S1,6.0,7.596.910.556.703.090
35.0,,Pegawai swasta,Kupang,12.093.635.358.579.200,1.0,0,5.424.799.178.237.020,15.399.030.805.803.000,Merpati,0.0,SMA,4.0,27.973.918.878.696.800
38.0,Laki-laki,Pengangguran,Banda Aceh,1.087.814.536.878.980,1.0,0,53.103.793.907.492.700,18.781.783.806.473.600,Deadbuoy,0.0,S1,9.0,9.315.654.716.493.650
38.0,Perempuan,Pegawai swasta,Kupang,6.786.868.150.098.840,1.0,1,6.539.398.032.905.460,16.919.265.024.053.400,Shoulder & Head,1.0,SMP,4.0,6.118.498.444.877.630
49.0,Laki-laki,PNS,Makassar,10.209.359.471.629.100,1.0,0,,1.754.605.184.285.650,Merpati,0.0,S1,5.0,6.567.525.719.376.320
49.0,Laki-laki,Pegawai swasta,Pangkalpinang,7.061.549.068.965.420,1.0,0,6.267.634.594.634.410,1.765.756.783.218.230,Deadbuoy,1.0,S3,4.0,6.061.672.658.331.160
39.0,Laki-laki,PNS,Yogyakarta,9.326.526.880.715.070,1.0,1,5.977.094.012.059.370,17.920.138.416.017.700,Pantone,1.0,S1,10.0,912.214.194.928.656
52.0,Laki-laki,PNS,Mamuju,10.361.307.614.162.900,1.0,1,5.936.791.338.114.050,1.715.881.823.233.800,Merpati,0.0,SMA,6.0,824.795.167.805.786
27.0,Laki-laki,PNS,Makassar,942.680.807.292.251,1.0,0,58.726.548.327.800.300,16.428.481.965.960.400,Moonsilk,1.0,SMP,1.0,5.079.848.128.585.920
29.0,Laki-laki,Pengangguran,Pontianak,41.574.541.244.233.100,1.0,1,4.914.080.621.061.380,1.628.656.814.976.340,Moonsilk,0.0,S2,9.0,9.609.726.389.658.770
45.0,Laki-laki,Pegawai swasta,Mataram,6.326.320.571.800.430,1.0,1,578.290.886.677.716,17.430.369.183.713.300,Shoulder & Head,1.0,SMA,1.0,8.244.124.741.267.660
